conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1824645344149602314,Sat Aug 17 03:12:04 +0000 2024,58543,Penampakan 9 naga di ikn https://t.co/V1C1F9LpPu,1824645344149602314,https://pbs.twimg.com/media/GVJxRT5asAAxjOx.jpg,,in,Always in your heart,1656,1432,8736,https://x.com/profesor_saham/status/1824645344149602314,1345898259445817345,profesor_saham
1834898926631326144,Sat Sep 14 10:16:09 +0000 2024,46801,First gooncave in IKN⁉️⁉️ https://t.co/5Ucr3Dfih0,1834898926631326144,https://pbs.twimg.com/media/GXbeuH1bwAQ0ae5.jpg,,en,"Sydney, New South Wales",1207,657,8623,https://x.com/boyxiaoping/status/1834898926631326144,1793939310959624192,boyxiaoping
1859849993504625133,Fri Nov 22 06:42:47 +0000 2024,9,Beginilah Progres Pembangunan Bundaran Sumbu Kebangsaan Sisi Barat di IKN https://t.co/JURq9DFkOr,1859849993504625133,https://pbs.twimg.com/ext_tw_video_thumb/1859849941008756736/pu/img/FpfbreUKODH-upIb.jpg,,in,,0,0,2,https://x.com/tham878/status/1859849993504625133,1759100655783043072,tham878
1750849817625219152,Fri Jan 26 11:55:00 +0000 2024,676,cape-cape kuliah PWK belajar soal kota penyangga peremajaan kota linkage desa-kota dan RTRW yg lebih masuk akal buat pemerataan malah pilih 02 yg dukung IKN? jelas2 ada isu strategis yg lebih besar apalagi AMDAL diterabas. yg bener aje... rugi dong? rek!,1750849817625219152,,,in,Bikini Bottom,51,27,102,https://x.com/fess10nopember/status/1750849817625219152,3007365157,fess10nopember
1760388629564895594,Wed Feb 21 19:38:50 +0000 2024,5,perencanaannya ngalahin ikn anjggg https://t.co/FsBPpmc6jp,1760388629564895594,https://pbs.twimg.com/media/GG4oIA1aMAAbzxN.jpg,,in,singapur selatan,0,0,0,https://x.com/anakpwk69/status/1760388629564895594,1475092727716929537,anakpwk69
1759587261967106318,Mon Feb 19 14:34:29 +0000 2024,1286,Jakarta tenggelam dan IKN nyelip di sini /lt https://t.co/7Kd4NWqV0i,1759587261967106318,https://pbs.twimg.com/media/GGtPSI3bUAASlFt.jpg,,in,Indonesia,0,7,109,https://x.com/literarybase/status/1759587261967106318,1023569652994080769,literarybase
1751833801624572344,Mon Jan 29 05:05:00 +0000 2024,131,Di tengah pontang-panting masalah IKN kok kayaknya jarang liat anak PWK bikin thread khusus IKN? Monggo lapak diskurus mahasiswa PWK rek! Sebutin plus minus IKN biar ilmunya bisa dibaca masyarakat luas,1751833801624572344,,,in,Bikini Bottom,3,17,5,https://x.com/fess10nopember/status/1751833801624572344,3007365157,fess10nopember
1749668281622094214,Tue Jan 23 05:40:00 +0000 2024,44,Wajar kok rek! mahasiswa masih idealis idealisnya ntar juga udah tamat baru ketampar realita. Tetap pertahankan idealismenya sampai tamat . Mengenai golongan privilige sepertinya tidak memilih 02 berarti mendukung program jokowi terutama IKN yang menghabiskan (cont..),1749668281622094214,,,in,Bikini Bottom,15,33,1,https://x.com/fess10nopember/status/1749668281622094214,3007365157,fess10nopember
1851654113869824051,Wed Oct 30 15:55:17 +0000 2024,40423,Daripada bikin IKN mending bikin ginian di tiap kabupaten.,1851654113869824051,,,in,,589,424,11867,https://x.com/sejutaluka/status/1851654113869824051,129643275,sejutaluka
1859627152406204444,Thu Nov 21 15:57:17 +0000 2024,17,Seems legit https://t.co/fpRVLfkQ3n,1859627152406204444,https://pbs.twimg.com/media/Gc65Cj_XcAEqkuF.jpg,,en,South America,0,4,1,https://x.com/Mark_IKN/status/1859627152406204444,1627835325635592193,Mark_IKN
1859458451665220068,Thu Nov 21 04:46:56 +0000 2024,1327,udah sebulan lebih orang ini lengser. tapi belum sekalipun dia nongol di ikn. malah sibuk cawe2 di kota lain. https://t.co/MpN7aQnrOa,1859458451665220068,https://pbs.twimg.com/media/Gc4flRQaAAES94-.jpg,,in,twitterville,12,176,327,https://x.com/sociotalker/status/1859458451665220068,115438018,sociotalker
1826136694112006442,Wed Aug 21 05:58:10 +0000 2024,69068,Bisa gak gempa megathrust-nya di gedung dpr istana ikn sama rumah pejabat dan presiden aja,1826136694112006442,,,in,Gotham & Old Trafford,742,567,19592,https://x.com/adnardn/status/1826136694112006442,59987088,adnardn
