HASIL STEMMING,Sentimen
tampak naga ikn,Neutral
first gooncave in ikn,Neutral
begini progres bangun bundar sumbu bangsa sisi barat ikn,Neutral
capecape kuliah pwk ajar kota sangga remaja kota linkage desakota rtrw masuk akal buat perata malah pilih dukung ikn jelas ada isu strategis besar apalagi amdal rabas bener aje rugi dong rek,Negative
rencana ngalahin ikn anjggg,Negative
jakarta tenggelam ikn nyelip lt,Negative
tengah pontangpanting masalah ikn kok kayak jarang liat anak pwk bikin thread khusus ikn monggo lapak diskurus mahasiswa pwk rek sebutin plus minus ikn biar ilmu baca masyarakat luas,Neutral
wajar kok rek mahasiswa idealis idealis ntar udah tamat baru tampar realita tetap tahan idealisme sampai tamat kena golong privilige seperti pilih arti dukung program jokowi utama ikn habis cont,Neutral
daripada bikin ikn mending bikin ginian tiap kabupaten,Negative
udah bulan orang lengser belum sekalipun dia nongol ikn malah sibuk cawe kota,Negative
gempa megathrustnya gedung dpr istana ikn rumah jabat presiden,Negative
gitu knp ga bangun pusat layan sehat rata wilayah timur biar gausah jauh ikn cuma buat obat ngotak dikit la pak masa org tinggal wilayah timur sakit jantung harus naik pesawat jam ga keburu amat tata kota my ass lmao,Negative
tuju ga buat ngelanjutin ikn nusantara,Neutral
ikn duduk nanti jt orang ada taksi terbang duduk nanti bagi faksi dauntles candor erudite amity abnegation,Neutral
lt apakah saat ali raib sel mulai tualang antar klan ikn,Neutral
lt tibatiba pikir kalo ibu kota pindah ikn apakah perpusnas ikut pindah bikin perpusnas baru,Neutral
pov buka bumble ikn,Neutral
masa depan ikn,Neutral
btw hari london gue udah diledekin ikn kali orang beda i heard its not working i heard its badly planned,Negative
dewapuci nanti takar sukses bangun ikn ya bu,Neutral
rek info butuh koneksi orang kerja ikn kasi k,Neutral
asn tuh pindah ikn juli nanti,Neutral
prabowo tawar proyek ikn giant sea wall usaha inggris,Neutral
sheque mrt amp lrt aku tuju ikn i doubt kl konsep pindahin ibukota amp bikin pusat ekonomi baru knp harus bener dr kaltim ga prudent dr segi cost amp byk kota potensial ga complain kl gdpnya gede banget meaning we have money amp luxury to do that,Negative
rek sini ada pernah magang ikn gk,Neutral
gamau pindah ikn ah ngapain bumble pasti sepi ntar,Negative
hee denger doa tri agama barusan ga ikn atus tahun jajah bangsa asing kini telah rasa merdeka mulai jajah nafsu dengki sendiri dst wait bikin teks ga ada singgung,Negative
rek tanya ada gk magangkp bagi proyek ikn buat jaga jaga biar kriteria syarat buat magang kerja sana,Neutral
fjhrrrrrrrrr ntar minta nyalon alas lanjut program maksu trs paslon satu fitnah bakal stop proker maksi habis rakyat jdi takut paslon satu gt kek ikn,Negative
pinjam ikn ya sekarang investor ikn mundur minta bangun bak roro jonggrang masuk akal manalagi kmrn ada boong kait investor asing padahal nihil negara,Negative
guys ada gelut project ikn ada kenal gadap projectnya saia perlu klarifikasi suatu point ada pdf websitenya thanksz minpuh,Neutral
lowkey getting fixated on tokyo ghoul also hi main im ikn class,Positive
tanya lanjut tuju lanjut bangun ikn baru jalan digimanain,Neutral
mkrynss wriad bener ga sih mil pns bakal mutasi ikn,Neutral
ikn bulan,Neutral
gmn kabar ikn dah ngangkrak blm kok ga ada update,Neutral
kabar universitas standford kenal bangun kampus ibukota baru ikn kepala otorita siap ikn bambang susantono bilang mei standford mulai bangun bahkan kata ada universitas susul,Neutral
panjang ikn,Neutral
who is on bluesky i ve just set up an account don t know if it s a waste of time but i m there as normaniknsinceapril same as my twix likes and follows would help me get started,Neutral
problematika asn ikn,Neutral
cung pernah ikn kerja salah satu proyek spesial sebenernya cuma ya semangat deh ga ngomong apaapa hahaha,Neutral
indonesia siap jadi tuan rumah selenggara pesta olahraga akbar dunia olimpiade tahun datang indonesia siap ibu kota nusantara ikn tempat,Positive
lalapanbebekk jauh ya jing kuta ikn enak kali,Positive
bilang punya uang gaji semua guru cara layak tibatiba punya uang t ikn m hari makan siang gratis ga punya uang ga punya mau,Negative
cak imin potong tumpeng titik nol ikn nusantara,Neutral
cocaptain tim nasional menang aniesmuhaimin timnas amin thomas lembong menteri investasi bahlil lahadalia saling singgung investasi ibu kota nusantara ikn tempodotco tomlembong bahlil,Neutral
btw kondisi jalan sekitar ikn tuju istana negara,Neutral
ukn ukt ikn,Neutral
i dont mind paying taxes if it goes to somewhere worthwhile but all i see is corruption and ikn and people losing jobs without safety net so excuse me to think this is problematic,Negative
temu tempo korporasi taipan panen kayu kawasan inti ikn,Neutral
tanyarl kalian nanti tinggal ikn gambar,Neutral
luhut pasti ceo softbank masayoshi son coret dewan arah bangun ibu kota negara ikn arti kaidanren jepang chamber of commerce kompak seru ada ikut investasi ikn,Negative
kayak suting ikn,Neutral
bang raymond padahal masuk undang ikn dia tetap speak up tentang isu rame video dia ngasih tau hati buzzer influencer udah nonghol buat mecah belah rakyat kerenn dia,Positive
gaes ada kerja ikn kah,Neutral
ikn nnti jdi kota maju gk smua org indonesia mnikmatinya soalna jauh knapa gk sluruh kota indonesia dbikin maju biar smua bs nikmatin jdi gk cm tmpt dibagusin,Negative
akhir date telah sekian lama nunggu paksu balik ikn happy satnight oll,Positive
waketum mui marsudi tutur proses hijrah nabi muhammad saw makkah madinah jauh beda pindah ikn jakarta kalimantan timur disss ga ada tuh critanya rasululloh hijrah pake tanah amp air rupa ngawur ente,Negative
tadi rebah sambil streaming upacara merdeka ikn yah tidur maaf negara ku aku nonton ulang kok,Neutral
tanyarl out of politik pandang pribadi kalian asli kalimantan daerah sebenernya tuju dg bangun ikn kasih alas dongs,Neutral
ikn tuh begini doang gmn si kok ga kyk ibukota malah kek the breeze bsd,Negative
masa sih ikn kayak haters tunggu komennya,Negative
harus manusia sering muncul wilayah ikn buaya harus was was,Negative
apakah ada alam ketrima cipienes kalo kayak arti tempat jakarta nanti bakal ikn ya aku tanya helpdesk belum jawab makasih,Neutral
kalian umur berapa pas ikn selesai me,Neutral
nyata solusi jakarta bebas macet tuh ikn libur nataru,Negative
gundar bakal univ pertama ikn,Neutral
jakarta masalah polusi asap kendara pabrik dsb kalimantan karhutla moga ide pindah ikn pusat perintah kurang,Negative
upacara ikn ditayangin tv mulai jam brp ya tv mana sender pgn nonton,Neutral
batal investasi softbank harus bangun presiden jokowi tengah buai mimpi tentang ibu kota baru tunjuk bahwa megaproyek ibu kota negara ikn tarik bagi investor rasional editorial korantempo,Negative
simpel banget mikirnya ada uang bpjs sehat segera hapus padahal nyawa orang beda dgn ikn ngotot banget ya,Negative
sama ikn cisauk tangs,Neutral
pikir sih kalo misal ibukota pindah ikn nanti konserkonser tetep jakarta pindah ikn kalimantan ada stadion muat banyak kapasitas kah sender serius nanya,Neutral
hasil ngobrol dg anggota dpr partai gerindra beliau beri izin hasil obrol aku tulis twitter prabowo telah lantik manut siapa meski jokowi beliau teguh dg diri amp garis partai tentang ikn ente simpul sendiri jawab,Neutral
tanyarl biasa tv adzan magribsubuh jakarta sekitar nah kalo ibu kota pindah nanti adzannya ikn sekitar dong ya,Neutral
guys kalo ibu kota udah pindah ikn apakah macet jakarta tetap ada kurang,Neutral
beri jelas ttg kondisi titik nol ikn klean ngamuk beri urai sejarah mandalika klean ngamuk maki amuk klean serang pribadi bahas substansi buat maki amuk klean naik semangat buka,Positive
semua jabat kumpul ikn lalu tiba dengar lagu,Neutral
halo semua aku ada teliti butuh dapat masyarakat asli kalimantan kait bangun ikn kalimantan ada warga sini sedia aku wawancarain mohon bantu yaa terima kasih,Neutral
nusantara cara resmi nama ibu kota nusantara singkat ikn ibu kota masa depan indonesia letak antara kabupaten kuta kartanegara kabupaten najam paser utara kalimantan timur ibu kota nusantara rencana jadi daerah,Neutral
caricari alas biar ngantor ikn,Neutral
nah polda kalimantan timur kaltim tengah selidik melakukanprofilingterkait unggah orang warga negara asing wna jelas kena ibu kota nusantara ikn,Neutral
